EmployeeID,Age,Gender,Department,Salary,,,,
EMP1026,27,Male,HR,513466,,,,
EMP1138,40,Female,Finance,1197844,,,,
EMP1014,38,Male,IT,1112021,,,,
EMP1176,39,Male,IT,1211065,,,,
EMP1121,44,Female,HR,448184,,,,
EMP1157,30,Male,Finance,1224138,,,,
EMP1059,44,Female,IT,1181731,,,,
EMP1113,24,Male,Marketing,602079,,,,
EMP1065,50,Female,Sales,454282,,,,
EMP1143,31,Male,Operations,702507,,,,
EMP1119,30,Male,Marketing,768398,,,,
EMP1053,34,Female,Marketing,392375,,,,
EMP1171,26,Male,Finance,681131,,,,
EMP1035,26,Male,Marketing,874229,,,,
EMP1079,21,Female,Sales,845795,,,,
EMP1049,31,Female,Operations,856802,,,,
EMP1057,32,Female,IT,1104604,,,,
EMP1191,27,Other,IT,710842,,,,
EMP1182,36,Female,IT,1022613,,,,
EMP1149,26,Male,IT,1091811,,,,
EMP1070,28,Male,Marketing,1254138,,,,
EMP1139,24,Male,Sales,696222,,,,
EMP1148,32,Male,Operations,601565,,,,
EMP1137,31,Female,Operations,1032812,,,,
EMP1029,34,Female,Operations,795364,,,,
EMP1008,37,Female,Marketing,908672,,,,
EMP1004,30,Female,Operations,524040,,,,
EMP1033,21,Female,IT,1244268,,,,
EMP1038,44,Male,IT,1061080,,,,
EMP1125,21,Female,IT,777509,,,,
EMP1043,32,Female,IT,978098,,,,
EMP1024,29,Male,Sales,673088,,,,
EMP1102,26,Female,Finance,978428,,,,
EMP1092,37,Male,Finance,1362895,,,,
EMP1147,48,Female,Operations,596740,,,,
EMP1133,35,Male,IT,425778,,,,
EMP1055,33,Male,Operations,363257,,,,
EMP1088,27,Female,Finance,747123,,,,
EMP1158,21,Female,HR,300000,,,,
EMP1101,35,Male,IT,1711437,,,,
EMP1150,34,Female,Sales,641315,,,,
EMP1095,33,Male,HR,333191,,,,
EMP1163,37,Male,Finance,705673,,,,
EMP1032,34,Male,IT,900776,,,,
EMP1094,31,Male,Operations,475962,,,,
EMP1046,25,Female,Finance,857383,,,,
EMP1109,30,Female,IT,1570506,,,,
EMP1106,33,Other,IT,1155971,,,,
EMP1030,28,Female,IT,1460392,,,,
EMP1110,40,Male,IT,1436355,,,,
EMP1123,45,Female,Sales,914634,,,,
EMP1179,33,Female,Marketing,583787,,,,
EMP1105,41,Female,Marketing,896201,,,,
EMP1061,49,Female,Sales,915881,,,,
EMP1084,43,Male,IT,855309,,,,
EMP1183,24,Female,Marketing,865226,,,,
EMP1126,32,Female,Sales,490984,,,,
EMP1153,37,Female,IT,1036255,,,,
EMP1193,27,Male,Marketing,543914,,,,
EMP1001,42,Female,Sales,634645,,,,
EMP1174,23,Female,IT,1006294,,,,
EMP1162,30,Female,Finance,778880,,,,
EMP1089,32,Male,Marketing,973921,,,,
EMP1078,36,Female,IT,980585,,,,
EMP1013,41,Female,HR,355868,,,,
EMP1124,21,Male,IT,1118329,,,,
EMP1042,24,Female,Operations,625862,,,,
EMP1114,37,Female,HR,581131,,,,
EMP1096,36,Female,Operations,969287,,,,
EMP1012,22,Female,Marketing,439023,,,,
EMP1115,40,Female,Finance,962259,,,,
EMP1076,27,Male,Finance,761661,,,,
EMP1002,32,Male,Marketing,951078,,,,
EMP1097,38,Female,Operations,817785,,,,
EMP1198,32,Male,Marketing,780657,,,,
EMP1006,31,Male,IT,1287846,,,,
EMP1155,28,Male,Marketing,300000,,,,
EMP1023,25,Male,Sales,577917,,,,
EMP1020,27,Female,Sales,507796,,,,
EMP1100,42,Male,IT,818627,,,,
EMP1170,34,Male,Operations,788087,,,,
EMP1022,31,Female,IT,1111849,,,,
EMP1161,45,Male,Sales,468497,,,,
EMP1074,47,Female,HR,472523,,,,
EMP1018,25,Female,Operations,400926,,,,
EMP1178,44,Male,Sales,981865,,,,
EMP1063,39,Male,HR,635342,,,,
EMP1028,34,Male,Operations,496652,,,,
EMP1048,44,Female,Operations,1073572,,,,
EMP1080,47,Female,IT,1183415,,,,
EMP1040,31,Male,Sales,800884,,,,
EMP1189,21,Female,Operations,573218,,,,
EMP1021,40,Female,Operations,582669,,,,
EMP1197,34,Female,Finance,996423,,,,
EMP1141,28,Male,Marketing,1314671,,,,
EMP1131,22,Male,Sales,700851,,,,
EMP1108,46,Male,HR,670720,,,,
EMP1060,40,Male,Sales,706179,,,,
EMP1177,32,Female,Finance,870587,,,,
EMP1056,26,Female,Marketing,729697,,,,
EMP1199,30,Female,Marketing,691016,,,,
EMP1152,30,Female,IT,1126607,,,,
EMP1200,25,Female,HR,659870,,,,
EMP1181,44,Male,Sales,868620,,,,
EMP1069,21,Male,IT,1258195,,,,
EMP1169,21,Male,IT,968869,,,,
EMP1186,21,Female,Finance,909321,,,,
EMP1036,30,Female,HR,509402,,,,
EMP1130,31,Male,Operations,429434,,,,
